Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.88,0.8782051282051282,0.8782051282051282,0.8796135265700482,7.283488988876343
LGBMClassifier,0.84,0.8365384615384616,0.8365384615384616,0.8384415584415583,21.29649829864502
AdaBoostClassifier,0.8,0.7948717948717949,0.7948717948717949,0.7960591133004925,38.915448904037476
BernoulliNB,0.72,0.7211538461538461,0.7211538461538461,0.72,1.1014690399169922
ExtraTreesClassifier,0.72,0.7115384615384616,0.7115384615384616,0.7057385398981324,1.1845171451568604
NearestCentroid,0.68,0.6826923076923077,0.6826923076923077,0.6789743589743589,1.0144851207733154
QuadraticDiscriminantAnalysis,0.68,0.6826923076923077,0.6826923076923077,0.6789743589743589,1.7955918312072754
BaggingClassifier,0.68,0.6794871794871795,0.6794871794871796,0.68,9.978855848312378
PassiveAggressiveClassifier,0.68,0.6794871794871795,0.6794871794871796,0.68,1.4886128902435303
DecisionTreeClassifier,0.68,0.6794871794871795,0.6794871794871796,0.68,2.6998729705810547
LinearSVC,0.68,0.6794871794871795,0.6794871794871796,0.68,1.6517062187194824
LinearDiscriminantAnalysis,0.64,0.641025641025641,0.6410256410256411,0.64,1.9405548572540283
LogisticRegression,0.64,0.641025641025641,0.6410256410256411,0.64,1.1383728981018066
Perceptron,0.64,0.641025641025641,0.6410256410256411,0.64,1.069746732711792
SGDClassifier,0.64,0.641025641025641,0.6410256410256411,0.64,1.0664889812469482
RandomForestClassifier,0.64,0.6346153846153846,0.6346153846153846,0.6329064039408867,1.3454160690307617
RidgeClassifier,0.64,0.6346153846153846,0.6346153846153846,0.6329064039408867,0.9813799858093262
RidgeClassifierCV,0.64,0.6346153846153846,0.6346153846153846,0.6329064039408867,1.017961025238037
NuSVC,0.64,0.6282051282051282,0.6282051282051282,0.6040641711229946,1.2970690727233887
SVC,0.64,0.6282051282051282,0.6282051282051282,0.6040641711229946,1.2770538330078125
ExtraTreeClassifier,0.6,0.5961538461538461,0.5961538461538461,0.5961038961038961,0.9447920322418213
GaussianNB,0.6,0.5897435897435898,0.5897435897435899,0.5708333333333333,0.9910480976104736
KNeighborsClassifier,0.52,0.5288461538461539,0.5288461538461539,0.49599999999999994,1.7182419300079346
LabelSpreading,0.48,0.5,0.5,0.3113513513513514,1.3030180931091309
LabelPropagation,0.48,0.5,0.5,0.3113513513513514,1.325070858001709
DummyClassifier,0.52,0.5,0.5,0.35578947368421054,0.9413471221923828
CalibratedClassifierCV,0.52,0.5,0.5,0.35578947368421054,4.0905961990356445
